epsilon: 0.1 | time_left: 3 days, 12:36:40 | time_elap: 0:00:10 | ep: 1/30000 | loss: 1.0032 | score_dev: 0 | avg_ep_time: 0:00:10 | avg_q: -0.0776 | score_avg: 65.0 | score: 65 | time: 13:01:48 | reward: -163 | 
epsilon: 0.1 | time_left: 2 days, 15:21:52 | time_elap: 0:00:15 | ep: 2/30000 | loss: 3.8073 | score_dev: 16.97 | avg_ep_time: 0:00:07 | avg_q: -0.0790 | score_avg: 53.0 | score: 41 | time: 13:01:53 | reward: -78 | 
epsilon: 0.1 | time_left: 2 days, 7:42:04 | time_elap: 0:00:20 | ep: 3/30000 | loss: 3.6544 | score_dev: 13.86 | avg_ep_time: 0:00:06 | avg_q: 0.2747 | score_avg: 49.0 | score: 41 | time: 13:01:58 | reward: -79 | 
epsilon: 0.1 | time_left: 2 days, 3:58:26 | time_elap: 0:00:24 | ep: 4/30000 | loss: 3.5859 | score_dev: 12.0 | avg_ep_time: 0:00:06 | avg_q: 0.7233 | score_avg: 47.0 | score: 41 | time: 13:02:03 | reward: -79 | 
epsilon: 0.1 | time_left: 2 days, 1:43:04 | time_elap: 0:00:29 | ep: 5/30000 | loss: 3.3643 | score_dev: 10.73 | avg_ep_time: 0:00:05 | avg_q: 0.7929 | score_avg: 46.0 | score: 41 | time: 13:02:07 | reward: -75 | 
epsilon: 0.1 | time_left: 2 days, 0:06:21 | time_elap: 0:00:34 | ep: 6/30000 | loss: 3.3044 | score_dev: 9.8 | avg_ep_time: 0:00:05 | avg_q: 0.8523 | score_avg: 45.0 | score: 41 | time: 13:02:12 | reward: -78 | 
epsilon: 0.1 | time_left: 1 day, 22:56:14 | time_elap: 0:00:39 | ep: 7/30000 | loss: 0.1081 | score_dev: 9.07 | avg_ep_time: 0:00:05 | avg_q: 0.8494 | score_avg: 44.0 | score: 41 | time: 13:02:17 | reward: -76 | 
epsilon: 0.1 | time_left: 1 day, 22:09:26 | time_elap: 0:00:44 | ep: 8/30000 | loss: 3.2431 | score_dev: 8.49 | avg_ep_time: 0:00:05 | avg_q: 0.8572 | score_avg: 44.0 | score: 41 | time: 13:02:22 | reward: -75 | 
epsilon: 0.1 | time_left: 1 day, 21:31:43 | time_elap: 0:00:49 | ep: 9/30000 | loss: 6.3262 | score_dev: 8.0 | avg_ep_time: 0:00:05 | avg_q: 0.8539 | score_avg: 44.0 | score: 41 | time: 13:02:27 | reward: -77 | 
epsilon: 0.1 | time_left: 1 day, 20:58:37 | time_elap: 0:00:53 | ep: 10/30000 | loss: 3.2057 | score_dev: 7.59 | avg_ep_time: 0:00:05 | avg_q: 1.0231 | score_avg: 43.0 | score: 41 | time: 13:02:32 | reward: -80 | 
epsilon: 0.1 | time_left: 1 day, 20:34:42 | time_elap: 0:00:58 | ep: 11/30000 | loss: 3.3414 | score_dev: 7.24 | avg_ep_time: 0:00:05 | avg_q: 0.6621 | score_avg: 43.0 | score: 41 | time: 13:02:36 | reward: -75 | 
epsilon: 0.1 | time_left: 1 day, 20:11:13 | time_elap: 0:01:03 | ep: 12/30000 | loss: 6.5696 | score_dev: 6.93 | avg_ep_time: 0:00:05 | avg_q: 0.9539 | score_avg: 43.0 | score: 41 | time: 13:02:41 | reward: -82 | 
epsilon: 0.1 | time_left: 1 day, 20:43:15 | time_elap: 0:01:09 | ep: 13/30000 | loss: 6.3883 | score_dev: 7.3 | avg_ep_time: 0:00:05 | avg_q: 0.7453 | score_avg: 44.0 | score: 54 | time: 13:02:47 | reward: -68 | 
epsilon: 0.1 | time_left: 1 day, 20:22:45 | time_elap: 0:01:14 | ep: 14/30000 | loss: 3.3518 | score_dev: 7.06 | avg_ep_time: 0:00:05 | avg_q: 1.0658 | score_avg: 44.0 | score: 41 | time: 13:02:52 | reward: -77 | 
epsilon: 0.1 | time_left: 1 day, 20:06:47 | time_elap: 0:01:19 | ep: 15/30000 | loss: 9.6809 | score_dev: 6.83 | avg_ep_time: 0:00:05 | avg_q: 0.5662 | score_avg: 43.0 | score: 41 | time: 13:02:57 | reward: -77 | 
epsilon: 0.1 | time_left: 1 day, 19:51:51 | time_elap: 0:01:24 | ep: 16/30000 | loss: 6.6659 | score_dev: 6.63 | avg_ep_time: 0:00:05 | avg_q: 0.9548 | score_avg: 43.0 | score: 41 | time: 13:03:02 | reward: -76 | 
epsilon: 0.1 | time_left: 1 day, 19:38:55 | time_elap: 0:01:29 | ep: 17/30000 | loss: 6.3923 | score_dev: 6.44 | avg_ep_time: 0:00:05 | avg_q: 0.8459 | score_avg: 43.0 | score: 41 | time: 13:03:07 | reward: -81 | 
epsilon: 0.1 | time_left: 1 day, 19:57:27 | time_elap: 0:01:35 | ep: 18/30000 | loss: 19.0169 | score_dev: 6.59 | avg_ep_time: 0:00:05 | avg_q: 0.7148 | score_avg: 44.0 | score: 52 | time: 13:03:13 | reward: -73 | 
epsilon: 0.1 | time_left: 1 day, 19:45:28 | time_elap: 0:01:39 | ep: 19/30000 | loss: 3.4239 | score_dev: 6.43 | avg_ep_time: 0:00:05 | avg_q: 1.2121 | score_avg: 44.0 | score: 41 | time: 13:03:17 | reward: -79 | 
epsilon: 0.1 | time_left: 1 day, 19:35:06 | time_elap: 0:01:44 | ep: 20/30000 | loss: 12.8395 | score_dev: 6.29 | avg_ep_time: 0:00:05 | avg_q: 0.6102 | score_avg: 43.0 | score: 41 | time: 13:03:22 | reward: -74 | 
epsilon: 0.1 | time_left: 1 day, 20:07:24 | time_elap: 0:01:51 | ep: 21/30000 | loss: 13.3105 | score_dev: 6.91 | avg_ep_time: 0:00:05 | avg_q: 1.0916 | score_avg: 44.0 | score: 58 | time: 13:03:29 | reward: -67 | 
epsilon: 0.1 | time_left: 1 day, 20:01:26 | time_elap: 0:01:56 | ep: 22/30000 | loss: 9.8840 | score_dev: 6.77 | avg_ep_time: 0:00:05 | avg_q: 1.5910 | score_avg: 44.0 | score: 41 | time: 13:03:34 | reward: -81 | 
epsilon: 0.1 | time_left: 1 day, 19:50:40 | time_elap: 0:02:01 | ep: 23/30000 | loss: 6.5074 | score_dev: 6.64 | avg_ep_time: 0:00:05 | avg_q: 1.2437 | score_avg: 44.0 | score: 41 | time: 13:03:39 | reward: -76 | 
epsilon: 0.1 | time_left: 1 day, 19:42:33 | time_elap: 0:02:05 | ep: 24/30000 | loss: 3.4116 | score_dev: 6.52 | avg_ep_time: 0:00:05 | avg_q: 1.8124 | score_avg: 44.0 | score: 41 | time: 13:03:44 | reward: -77 | 
epsilon: 0.1 | time_left: 1 day, 20:02:11 | time_elap: 0:02:12 | ep: 25/30000 | loss: 6.6119 | score_dev: 6.71 | avg_ep_time: 0:00:05 | avg_q: 1.2071 | score_avg: 44.0 | score: 54 | time: 13:03:50 | reward: -62 | 
epsilon: 0.1 | time_left: 1 day, 19:52:41 | time_elap: 0:02:17 | ep: 26/30000 | loss: 3.5246 | score_dev: 6.6 | avg_ep_time: 0:00:05 | avg_q: 1.5643 | score_avg: 44.0 | score: 41 | time: 13:03:55 | reward: -76 | 
epsilon: 0.1 | time_left: 1 day, 19:44:32 | time_elap: 0:02:21 | ep: 27/30000 | loss: 3.2576 | score_dev: 6.5 | avg_ep_time: 0:00:05 | avg_q: 1.2789 | score_avg: 44.0 | score: 41 | time: 13:03:59 | reward: -75 | 
epsilon: 0.1 | time_left: 1 day, 19:36:51 | time_elap: 0:02:26 | ep: 28/30000 | loss: 0.2903 | score_dev: 6.4 | avg_ep_time: 0:00:05 | avg_q: 1.9117 | score_avg: 44.0 | score: 41 | time: 13:04:04 | reward: -76 | 
epsilon: 0.1 | time_left: 1 day, 19:44:03 | time_elap: 0:02:32 | ep: 29/30000 | loss: 6.7424 | score_dev: 6.36 | avg_ep_time: 0:00:05 | avg_q: 1.0052 | score_avg: 44.0 | score: 49 | time: 13:04:10 | reward: -66 | 
epsilon: 0.1 | time_left: 1 day, 19:36:24 | time_elap: 0:02:37 | ep: 30/30000 | loss: 9.9267 | score_dev: 6.27 | avg_ep_time: 0:00:05 | avg_q: 1.4130 | score_avg: 44.0 | score: 41 | time: 13:04:15 | reward: -76 | 
epsilon: 0.1 | time_left: 1 day, 19:30:17 | time_elap: 0:02:41 | ep: 31/30000 | loss: 3.3223 | score_dev: 6.19 | avg_ep_time: 0:00:05 | avg_q: 1.6132 | score_avg: 44.0 | score: 41 | time: 13:04:20 | reward: -75 | 
epsilon: 0.1 | time_left: 1 day, 19:52:50 | time_elap: 0:02:48 | ep: 32/30000 | loss: 6.4227 | score_dev: 6.66 | avg_ep_time: 0:00:05 | avg_q: 1.3726 | score_avg: 44.0 | score: 59 | time: 13:04:26 | reward: -60 | 
epsilon: 0.1 | time_left: 1 day, 19:45:41 | time_elap: 0:02:53 | ep: 33/30000 | loss: 6.4867 | score_dev: 6.58 | avg_ep_time: 0:00:05 | avg_q: 1.5009 | score_avg: 44.0 | score: 41 | time: 13:04:31 | reward: -78 | 
epsilon: 0.1 | time_left: 1 day, 19:38:46 | time_elap: 0:02:58 | ep: 34/30000 | loss: 6.3363 | score_dev: 6.5 | avg_ep_time: 0:00:05 | avg_q: 1.5665 | score_avg: 44.0 | score: 41 | time: 13:04:36 | reward: -78 | 
epsilon: 0.1 | time_left: 1 day, 19:32:49 | time_elap: 0:03:03 | ep: 35/30000 | loss: 9.5713 | score_dev: 6.42 | avg_ep_time: 0:00:05 | avg_q: 1.2569 | score_avg: 44.0 | score: 41 | time: 13:04:41 | reward: -74 | 
epsilon: 0.1 | time_left: 1 day, 19:28:01 | time_elap: 0:03:07 | ep: 36/30000 | loss: 6.5998 | score_dev: 6.35 | avg_ep_time: 0:00:05 | avg_q: 1.7851 | score_avg: 44.0 | score: 41 | time: 13:04:46 | reward: -76 | 
epsilon: 0.1 | time_left: 1 day, 19:22:31 | time_elap: 0:03:12 | ep: 37/30000 | loss: 6.5668 | score_dev: 6.28 | avg_ep_time: 0:00:05 | avg_q: 1.1826 | score_avg: 44.0 | score: 41 | time: 13:04:50 | reward: -74 | 
epsilon: 0.1 | time_left: 1 day, 19:17:32 | time_elap: 0:03:17 | ep: 38/30000 | loss: 3.4529 | score_dev: 6.21 | avg_ep_time: 0:00:05 | avg_q: 1.5162 | score_avg: 44.0 | score: 41 | time: 13:04:55 | reward: -73 | 
epsilon: 0.1 | time_left: 1 day, 19:12:47 | time_elap: 0:03:22 | ep: 39/30000 | loss: 3.2141 | score_dev: 6.14 | avg_ep_time: 0:00:05 | avg_q: 1.4456 | score_avg: 44.0 | score: 41 | time: 13:05:00 | reward: -75 | 
epsilon: 0.1 | time_left: 1 day, 19:07:39 | time_elap: 0:03:27 | ep: 40/30000 | loss: 9.5604 | score_dev: 6.08 | avg_ep_time: 0:00:05 | avg_q: 1.4380 | score_avg: 44.0 | score: 41 | time: 13:05:05 | reward: -76 | 
epsilon: 0.1 | time_left: 1 day, 19:03:05 | time_elap: 0:03:32 | ep: 41/30000 | loss: 4.0075 | score_dev: 6.02 | avg_ep_time: 0:00:05 | avg_q: 2.7357 | score_avg: 44.0 | score: 41 | time: 13:05:10 | reward: -78 | 
epsilon: 0.1 | time_left: 1 day, 19:11:44 | time_elap: 0:03:38 | ep: 42/30000 | loss: 13.0789 | score_dev: 6.0 | avg_ep_time: 0:00:05 | avg_q: 1.8022 | score_avg: 44.0 | score: 49 | time: 13:05:16 | reward: -73 | 
epsilon: 0.1 | time_left: 1 day, 19:29:09 | time_elap: 0:03:44 | ep: 43/30000 | loss: 13.1343 | score_dev: 6.38 | avg_ep_time: 0:00:05 | avg_q: 2.3530 | score_avg: 44.0 | score: 59 | time: 13:05:22 | reward: -63 | 
epsilon: 0.1 | time_left: 1 day, 19:24:53 | time_elap: 0:03:49 | ep: 44/30000 | loss: 9.6106 | score_dev: 6.32 | avg_ep_time: 0:00:05 | avg_q: 2.1304 | score_avg: 44.0 | score: 41 | time: 13:05:27 | reward: -75 | 
epsilon: 0.1 | time_left: 1 day, 19:20:15 | time_elap: 0:03:54 | ep: 45/30000 | loss: 3.4784 | score_dev: 6.26 | avg_ep_time: 0:00:05 | avg_q: 2.7768 | score_avg: 44.0 | score: 41 | time: 13:05:32 | reward: -80 | 
epsilon: 0.1 | time_left: 1 day, 19:16:45 | time_elap: 0:03:59 | ep: 46/30000 | loss: 13.1051 | score_dev: 6.21 | avg_ep_time: 0:00:05 | avg_q: 1.7318 | score_avg: 44.0 | score: 41 | time: 13:05:37 | reward: -79 | 
epsilon: 0.1 | time_left: 1 day, 19:12:19 | time_elap: 0:04:04 | ep: 47/30000 | loss: 6.8528 | score_dev: 6.15 | avg_ep_time: 0:00:05 | avg_q: 2.5429 | score_avg: 44.0 | score: 41 | time: 13:05:42 | reward: -78 | 
epsilon: 0.1 | time_left: 1 day, 19:08:57 | time_elap: 0:04:08 | ep: 48/30000 | loss: 6.5856 | score_dev: 6.1 | avg_ep_time: 0:00:05 | avg_q: 1.9236 | score_avg: 44.0 | score: 41 | time: 13:05:47 | reward: -75 | 
epsilon: 0.1 | time_left: 1 day, 19:04:52 | time_elap: 0:04:13 | ep: 49/30000 | loss: 13.0152 | score_dev: 6.05 | avg_ep_time: 0:00:05 | avg_q: 2.4272 | score_avg: 44.0 | score: 41 | time: 13:05:51 | reward: -76 | 
epsilon: 0.1 | time_left: 1 day, 19:00:48 | time_elap: 0:04:18 | ep: 50/30000 | loss: 0.2301 | score_dev: 6.0 | avg_ep_time: 0:00:05 | avg_q: 2.2970 | score_avg: 44.0 | score: 41 | time: 13:05:56 | reward: -80 | 
epsilon: 0.1 | time_left: 1 day, 19:05:34 | time_elap: 0:04:24 | ep: 51/30000 | loss: 6.4183 | score_dev: 5.98 | avg_ep_time: 0:00:05 | avg_q: 2.1311 | score_avg: 44.0 | score: 49 | time: 13:06:02 | reward: -71 | 
epsilon: 0.1 | time_left: 1 day, 19:01:41 | time_elap: 0:04:28 | ep: 52/30000 | loss: 6.4662 | score_dev: 5.94 | avg_ep_time: 0:00:05 | avg_q: 2.2829 | score_avg: 44.0 | score: 41 | time: 13:06:07 | reward: -76 | 
