epsilon: 0.1 | time_left: 19:33:09 | time_elap: 0:00:02 | ep: 1/30000 | loss: No train | score_dev: 0 | avg_ep_time: 0:00:02 | avg_q: 0.0212 | score_avg: 41.0 | score: 41 | time: 21:34:54 | reward: -100 | 
epsilon: 0.1 | time_left: 1 day, 6:27:39 | time_elap: 0:00:07 | ep: 2/30000 | loss: No train | score_dev: 0.71 | avg_ep_time: 0:00:03 | avg_q: 0.0212 | score_avg: 42.0 | score: 42 | time: 21:34:59 | reward: -75 | 
epsilon: 0.1 | time_left: 1 day, 11:39:33 | time_elap: 0:00:12 | ep: 3/30000 | loss: 7.2083 | score_dev: 0.58 | avg_ep_time: 0:00:04 | avg_q: 0.5701 | score_avg: 41.0 | score: 41 | time: 21:35:04 | reward: -79 | 
epsilon: 0.1 | time_left: 1 day, 13:01:47 | time_elap: 0:00:17 | ep: 4/30000 | loss: 3.4754 | score_dev: 0.58 | avg_ep_time: 0:00:04 | avg_q: 1.3176 | score_avg: 42.0 | score: 42 | time: 21:35:09 | reward: -75 | 
epsilon: 0.1 | time_left: 1 day, 13:48:04 | time_elap: 0:00:22 | ep: 5/30000 | loss: 0.6951 | score_dev: 0.55 | avg_ep_time: 0:00:04 | avg_q: 0.3768 | score_avg: 41.0 | score: 41 | time: 21:35:14 | reward: -75 | 
epsilon: 0.1 | time_left: 1 day, 14:15:40 | time_elap: 0:00:27 | ep: 6/30000 | loss: 6.8074 | score_dev: 0.55 | avg_ep_time: 0:00:04 | avg_q: 0.5526 | score_avg: 42.0 | score: 42 | time: 21:35:19 | reward: -83 | 
epsilon: 0.1 | time_left: 1 day, 14:36:23 | time_elap: 0:00:32 | ep: 7/30000 | loss: 3.4200 | score_dev: 0.53 | avg_ep_time: 0:00:04 | avg_q: 0.7157 | score_avg: 42.0 | score: 42 | time: 21:35:24 | reward: -75 | 
epsilon: 0.1 | time_left: 1 day, 14:52:29 | time_elap: 0:00:37 | ep: 8/30000 | loss: 3.3534 | score_dev: 0.52 | avg_ep_time: 0:00:04 | avg_q: 0.7468 | score_avg: 42.0 | score: 42 | time: 21:35:29 | reward: -75 | 
epsilon: 0.1 | time_left: 1 day, 15:04:37 | time_elap: 0:00:42 | ep: 9/30000 | loss: 0.0618 | score_dev: 0.5 | avg_ep_time: 0:00:04 | avg_q: 0.7860 | score_avg: 42.0 | score: 42 | time: 21:35:34 | reward: -75 | 
epsilon: 0.1 | time_left: 1 day, 15:13:36 | time_elap: 0:00:47 | ep: 10/30000 | loss: 6.3740 | score_dev: 0.48 | avg_ep_time: 0:00:04 | avg_q: 0.7129 | score_avg: 42.0 | score: 42 | time: 21:35:39 | reward: -79 | 
epsilon: 0.1 | time_left: 1 day, 15:22:57 | time_elap: 0:00:52 | ep: 11/30000 | loss: 0.1309 | score_dev: 0.47 | avg_ep_time: 0:00:04 | avg_q: 0.8541 | score_avg: 42.0 | score: 42 | time: 21:35:44 | reward: -87 | 
epsilon: 0.1 | time_left: 1 day, 15:29:22 | time_elap: 0:00:56 | ep: 12/30000 | loss: 9.5583 | score_dev: 0.45 | avg_ep_time: 0:00:04 | avg_q: 0.6727 | score_avg: 42.0 | score: 42 | time: 21:35:48 | reward: -75 | 
epsilon: 0.1 | time_left: 1 day, 15:35:46 | time_elap: 0:01:01 | ep: 13/30000 | loss: 3.3341 | score_dev: 0.44 | avg_ep_time: 0:00:04 | avg_q: 0.8258 | score_avg: 42.0 | score: 42 | time: 21:35:53 | reward: -75 | 
epsilon: 0.1 | time_left: 1 day, 15:39:54 | time_elap: 0:01:06 | ep: 14/30000 | loss: 3.2907 | score_dev: 0.43 | avg_ep_time: 0:00:04 | avg_q: 0.7931 | score_avg: 42.0 | score: 42 | time: 21:35:58 | reward: -75 | 
