epsilon: 0.1 | time_left: 5:14:34 | time_elap: 0:00:01 | ep: 1/10000 | loss: No train | score_dev: 0 | avg_ep_time: 0:00:01 | avg_q: 0.0212 | score_avg: 42.0 | score: 42 | time: 15:53:33 | reward: -100 | 
epsilon: 0.1 | time_left: 10:36:16 | time_elap: 0:00:07 | ep: 2/10000 | loss: 7.2188 | score_dev: 0.0 | avg_ep_time: 0:00:03 | avg_q: -0.0331 | score_avg: 42.0 | score: 42 | time: 15:53:38 | reward: -113 | 
epsilon: 0.1 | time_left: 12:00:32 | time_elap: 0:00:12 | ep: 3/10000 | loss: 3.9347 | score_dev: 0.58 | avg_ep_time: 0:00:04 | avg_q: 0.3378 | score_avg: 42.0 | score: 43 | time: 15:53:44 | reward: -74 | 
epsilon: 0.1 | time_left: 12:34:07 | time_elap: 0:00:18 | ep: 4/10000 | loss: 0.5511 | score_dev: 0.5 | avg_ep_time: 0:00:04 | avg_q: 1.0609 | score_avg: 42.0 | score: 42 | time: 15:53:49 | reward: -74 | 
epsilon: 0.1 | time_left: 12:54:17 | time_elap: 0:00:23 | ep: 5/10000 | loss: 6.4415 | score_dev: 0.45 | avg_ep_time: 0:00:04 | avg_q: 0.5427 | score_avg: 42.0 | score: 42 | time: 15:53:54 | reward: -70 | 
epsilon: 0.1 | time_left: 13:06:52 | time_elap: 0:00:28 | ep: 6/10000 | loss: 6.5929 | score_dev: 0.41 | avg_ep_time: 0:00:04 | avg_q: 0.9651 | score_avg: 42.0 | score: 42 | time: 15:53:59 | reward: -72 | 
epsilon: 0.1 | time_left: 13:16:00 | time_elap: 0:00:33 | ep: 7/10000 | loss: 9.5437 | score_dev: 0.38 | avg_ep_time: 0:00:04 | avg_q: 0.6097 | score_avg: 42.0 | score: 42 | time: 15:54:04 | reward: -70 | 
epsilon: 0.1 | time_left: 13:23:33 | time_elap: 0:00:38 | ep: 8/10000 | loss: 6.5735 | score_dev: 0.35 | avg_ep_time: 0:00:04 | avg_q: 0.9658 | score_avg: 42.0 | score: 42 | time: 15:54:09 | reward: -70 | 
epsilon: 0.1 | time_left: 13:29:21 | time_elap: 0:00:43 | ep: 9/10000 | loss: 3.2910 | score_dev: 0.33 | avg_ep_time: 0:00:04 | avg_q: 0.7664 | score_avg: 42.0 | score: 42 | time: 15:54:14 | reward: -72 | 
epsilon: 0.1 | time_left: 13:33:49 | time_elap: 0:00:48 | ep: 10/10000 | loss: 6.4327 | score_dev: 0.32 | avg_ep_time: 0:00:04 | avg_q: 0.8425 | score_avg: 42.0 | score: 42 | time: 15:54:20 | reward: -78 | 
epsilon: 0.1 | time_left: 13:37:29 | time_elap: 0:00:54 | ep: 11/10000 | loss: 3.2488 | score_dev: 0.3 | avg_ep_time: 0:00:04 | avg_q: 0.8443 | score_avg: 42.0 | score: 42 | time: 15:54:25 | reward: -72 | 
