epsilon: 0.1 | time_left: 5:02:50 | time_elap: 0:00:01 | ep: 1/10000 | loss: No train | score_dev: 0 | avg_ep_time: 0:00:01 | avg_q: 0.0035 | score_avg: 42.0 | score: 42 | time: 18:20:53 | reward: -100 | 
epsilon: 0.1 | time_left: 10:08:47 | time_elap: 0:00:07 | ep: 2/10000 | loss: 7.1845 | score_dev: 0.0 | avg_ep_time: 0:00:03 | avg_q: 0.2935 | score_avg: 42.0 | score: 42 | time: 18:20:59 | reward: -74 | 
epsilon: 0.1 | time_left: 11:27:35 | time_elap: 0:00:12 | ep: 3/10000 | loss: 3.7870 | score_dev: 0.0 | avg_ep_time: 0:00:04 | avg_q: 0.8055 | score_avg: 42.0 | score: 42 | time: 18:21:04 | reward: -70 | 
epsilon: 0.1 | time_left: 12:06:51 | time_elap: 0:00:17 | ep: 4/10000 | loss: 3.2327 | score_dev: 0.0 | avg_ep_time: 0:00:04 | avg_q: 1.0913 | score_avg: 42.0 | score: 42 | time: 18:21:09 | reward: -69 | 
epsilon: 0.1 | time_left: 12:29:34 | time_elap: 0:00:22 | ep: 5/10000 | loss: 3.3916 | score_dev: 0.0 | avg_ep_time: 0:00:04 | avg_q: 0.6136 | score_avg: 42.0 | score: 42 | time: 18:21:14 | reward: -74 | 
epsilon: 0.1 | time_left: 12:47:56 | time_elap: 0:00:27 | ep: 6/10000 | loss: 3.5308 | score_dev: 0.41 | avg_ep_time: 0:00:04 | avg_q: 0.9473 | score_avg: 42.0 | score: 43 | time: 18:21:19 | reward: -81 | 
epsilon: 0.1 | time_left: 12:58:30 | time_elap: 0:00:32 | ep: 7/10000 | loss: 6.4745 | score_dev: 0.38 | avg_ep_time: 0:00:04 | avg_q: 0.7155 | score_avg: 42.0 | score: 42 | time: 18:21:24 | reward: -72 | 
epsilon: 0.1 | time_left: 13:06:44 | time_elap: 0:00:37 | ep: 8/10000 | loss: 3.3789 | score_dev: 0.35 | avg_ep_time: 0:00:04 | avg_q: 0.9716 | score_avg: 42.0 | score: 42 | time: 18:21:29 | reward: -74 | 
epsilon: 0.1 | time_left: 13:12:41 | time_elap: 0:00:42 | ep: 9/10000 | loss: 6.4827 | score_dev: 0.33 | avg_ep_time: 0:00:04 | avg_q: 0.7582 | score_avg: 42.0 | score: 42 | time: 18:21:34 | reward: -72 | 
epsilon: 0.1 | time_left: 13:18:06 | time_elap: 0:00:47 | ep: 10/10000 | loss: 3.3341 | score_dev: 0.32 | avg_ep_time: 0:00:04 | avg_q: 1.0165 | score_avg: 42.0 | score: 42 | time: 18:21:39 | reward: -73 | 
epsilon: 0.1 | time_left: 13:22:00 | time_elap: 0:00:52 | ep: 11/10000 | loss: 9.6325 | score_dev: 0.3 | avg_ep_time: 0:00:04 | avg_q: 0.7338 | score_avg: 42.0 | score: 42 | time: 18:21:44 | reward: -78 | 
epsilon: 0.1 | time_left: 13:25:23 | time_elap: 0:00:58 | ep: 12/10000 | loss: 0.2846 | score_dev: 0.29 | avg_ep_time: 0:00:04 | avg_q: 1.1422 | score_avg: 42.0 | score: 42 | time: 18:21:49 | reward: -76 | 
epsilon: 0.1 | time_left: 13:28:20 | time_elap: 0:01:03 | ep: 13/10000 | loss: 0.1830 | score_dev: 0.28 | avg_ep_time: 0:00:04 | avg_q: 0.8362 | score_avg: 42.0 | score: 42 | time: 18:21:54 | reward: -72 | 
epsilon: 0.1 | time_left: 13:30:41 | time_elap: 0:01:08 | ep: 14/10000 | loss: 9.6030 | score_dev: 0.27 | avg_ep_time: 0:00:04 | avg_q: 0.8823 | score_avg: 42.0 | score: 42 | time: 18:21:59 | reward: -74 | 
epsilon: 0.1 | time_left: 13:33:15 | time_elap: 0:01:13 | ep: 15/10000 | loss: 3.2852 | score_dev: 0.26 | avg_ep_time: 0:00:04 | avg_q: 0.9736 | score_avg: 42.0 | score: 42 | time: 18:22:05 | reward: -74 | 
epsilon: 0.1 | time_left: 13:35:57 | time_elap: 0:01:18 | ep: 16/10000 | loss: 9.5523 | score_dev: 0.25 | avg_ep_time: 0:00:04 | avg_q: 0.7474 | score_avg: 42.0 | score: 42 | time: 18:22:10 | reward: -72 | 
