epsilon: 0.1 | time_left: 10:07:53 | time_elap: 0:00:03 | ep: 1/10000 | loss: No train | score_dev: 0 | avg_ep_time: 0:00:03 | avg_q: 0.0000 | score_avg: 51.0 | score: 51 | time: 18:25:25 | reward: -106 | 
epsilon: 0.1 | time_left: 13:19:38 | time_elap: 0:00:09 | ep: 2/10000 | loss: 1.0005 | score_dev: 6.36 | avg_ep_time: 0:00:04 | avg_q: 0.0634 | score_avg: 47.0 | score: 42 | time: 18:25:31 | reward: -88 | 
epsilon: 0.1 | time_left: 13:43:37 | time_elap: 0:00:14 | ep: 3/10000 | loss: 0.9136 | score_dev: 5.2 | avg_ep_time: 0:00:04 | avg_q: 0.1708 | score_avg: 45.0 | score: 42 | time: 18:25:36 | reward: -72 | 
epsilon: 0.1 | time_left: 14:48:09 | time_elap: 0:00:21 | ep: 4/10000 | loss: 3.9261 | score_dev: 6.18 | avg_ep_time: 0:00:05 | avg_q: 0.3012 | score_avg: 47.0 | score: 54 | time: 18:25:43 | reward: -61 | 
epsilon: 0.1 | time_left: 14:44:22 | time_elap: 0:00:26 | ep: 5/10000 | loss: 3.8272 | score_dev: 5.85 | avg_ep_time: 0:00:05 | avg_q: 0.4672 | score_avg: 46.0 | score: 42 | time: 18:25:48 | reward: -72 | 
epsilon: 0.1 | time_left: 14:41:39 | time_elap: 0:00:31 | ep: 6/10000 | loss: 6.7565 | score_dev: 5.5 | avg_ep_time: 0:00:05 | avg_q: 0.6808 | score_avg: 46.0 | score: 42 | time: 18:25:53 | reward: -76 | 
epsilon: 0.1 | time_left: 14:40:27 | time_elap: 0:00:37 | ep: 7/10000 | loss: 6.6167 | score_dev: 5.2 | avg_ep_time: 0:00:05 | avg_q: 0.9319 | score_avg: 45.0 | score: 42 | time: 18:25:59 | reward: -74 | 
epsilon: 0.1 | time_left: 14:40:58 | time_elap: 0:00:42 | ep: 8/10000 | loss: 3.3355 | score_dev: 4.86 | avg_ep_time: 0:00:05 | avg_q: 1.1873 | score_avg: 45.0 | score: 43 | time: 18:26:04 | reward: -73 | 
epsilon: 0.1 | time_left: 14:54:18 | time_elap: 0:00:48 | ep: 9/10000 | loss: 6.5716 | score_dev: 4.87 | avg_ep_time: 0:00:05 | avg_q: 1.3265 | score_avg: 45.0 | score: 50 | time: 18:26:10 | reward: -68 | 
epsilon: 0.1 | time_left: 14:51:17 | time_elap: 0:00:53 | ep: 10/10000 | loss: 6.7078 | score_dev: 4.71 | avg_ep_time: 0:00:05 | avg_q: 1.3123 | score_avg: 45.0 | score: 42 | time: 18:26:15 | reward: -74 | 
epsilon: 0.1 | time_left: 14:48:49 | time_elap: 0:00:58 | ep: 11/10000 | loss: 6.7484 | score_dev: 4.56 | avg_ep_time: 0:00:05 | avg_q: 1.2046 | score_avg: 45.0 | score: 42 | time: 18:26:20 | reward: -72 | 
epsilon: 0.1 | time_left: 14:47:18 | time_elap: 0:01:03 | ep: 12/10000 | loss: 3.4638 | score_dev: 4.42 | avg_ep_time: 0:00:05 | avg_q: 1.0676 | score_avg: 45.0 | score: 42 | time: 18:26:26 | reward: -72 | 
epsilon: 0.1 | time_left: 14:58:47 | time_elap: 0:01:10 | ep: 13/10000 | loss: 3.3712 | score_dev: 4.72 | avg_ep_time: 0:00:05 | avg_q: 0.9301 | score_avg: 45.0 | score: 52 | time: 18:26:32 | reward: -64 | 
epsilon: 0.1 | time_left: 14:56:16 | time_elap: 0:01:15 | ep: 14/10000 | loss: 3.3217 | score_dev: 4.61 | avg_ep_time: 0:00:05 | avg_q: 0.8144 | score_avg: 45.0 | score: 42 | time: 18:26:37 | reward: -74 | 
epsilon: 0.1 | time_left: 14:54:23 | time_elap: 0:01:20 | ep: 15/10000 | loss: 3.3227 | score_dev: 4.5 | avg_ep_time: 0:00:05 | avg_q: 0.7293 | score_avg: 45.0 | score: 42 | time: 18:26:42 | reward: -76 | 
epsilon: 0.1 | time_left: 14:52:43 | time_elap: 0:01:25 | ep: 16/10000 | loss: 0.2413 | score_dev: 4.4 | avg_ep_time: 0:00:05 | avg_q: 0.6814 | score_avg: 45.0 | score: 42 | time: 18:26:47 | reward: -74 | 
epsilon: 0.1 | time_left: 14:51:33 | time_elap: 0:01:31 | ep: 17/10000 | loss: 12.8616 | score_dev: 4.3 | avg_ep_time: 0:00:05 | avg_q: 0.6460 | score_avg: 44.0 | score: 42 | time: 18:26:53 | reward: -78 | 
epsilon: 0.1 | time_left: 15:00:32 | time_elap: 0:01:37 | ep: 18/10000 | loss: 3.3912 | score_dev: 4.54 | avg_ep_time: 0:00:05 | avg_q: 0.6324 | score_avg: 45.0 | score: 52 | time: 18:26:59 | reward: -65 | 
epsilon: 0.1 | time_left: 15:05:40 | time_elap: 0:01:43 | ep: 19/10000 | loss: 3.4775 | score_dev: 4.52 | avg_ep_time: 0:00:05 | avg_q: 0.6378 | score_avg: 45.0 | score: 49 | time: 18:27:05 | reward: -68 | 
epsilon: 0.1 | time_left: 15:03:34 | time_elap: 0:01:48 | ep: 20/10000 | loss: 0.3323 | score_dev: 4.45 | avg_ep_time: 0:00:05 | avg_q: 0.6646 | score_avg: 45.0 | score: 42 | time: 18:27:10 | reward: -72 | 
epsilon: 0.1 | time_left: 15:02:36 | time_elap: 0:01:53 | ep: 21/10000 | loss: 7.0401 | score_dev: 4.38 | avg_ep_time: 0:00:05 | avg_q: 0.7274 | score_avg: 45.0 | score: 42 | time: 18:27:16 | reward: -74 | 
