loss: No train | epoch: 0/20000 | score: 51 | time left: 21:21:07 | avg_q: 0.0011 | epsilon: 1.0 | reward: -103 | avg time per epoch: 0:00:03 | time elapsed: 0:00:03 | 
loss: 3.3012 | epoch: 1/20000 | score: 41 | time left: 1 day, 2:04:14 | avg_q: 0.0785 | epsilon: 1.0 | reward: -99 | avg time per epoch: 0:00:04 | time elapsed: 0:00:09 | 
loss: 1.6577 | epoch: 2/20000 | score: 53 | time left: 1 day, 4:30:18 | avg_q: 0.3215 | epsilon: 1.0 | reward: -109 | avg time per epoch: 0:00:05 | time elapsed: 0:00:15 | 
loss: 4.6609 | epoch: 3/20000 | score: 48 | time left: 1 day, 5:02:40 | avg_q: 1.2492 | epsilon: 1.0 | reward: -102 | avg time per epoch: 0:00:05 | time elapsed: 0:00:20 | 
loss: 1.6073 | epoch: 4/20000 | score: 74 | time left: 1 day, 8:23:12 | avg_q: 0.2886 | epsilon: 1.0 | reward: -88 | avg time per epoch: 0:00:05 | time elapsed: 0:00:29 | 
loss: 0.1106 | epoch: 5/20000 | score: 62 | time left: 1 day, 9:33:21 | avg_q: 0.7916 | epsilon: 1.0 | reward: -106 | avg time per epoch: 0:00:06 | time elapsed: 0:00:36 | 
loss: 0.0301 | epoch: 6/20000 | score: 41 | time left: 1 day, 8:34:15 | avg_q: 1.1930 | epsilon: 1.0 | reward: -107 | avg time per epoch: 0:00:05 | time elapsed: 0:00:41 | 
loss: 3.0782 | epoch: 7/20000 | score: 48 | time left: 1 day, 8:20:08 | avg_q: 1.2125 | epsilon: 1.0 | reward: -106 | avg time per epoch: 0:00:05 | time elapsed: 0:00:46 | 
loss: 1.5889 | epoch: 8/20000 | score: 49 | time left: 1 day, 8:14:54 | avg_q: 0.9688 | epsilon: 1.0 | reward: -99 | avg time per epoch: 0:00:05 | time elapsed: 0:00:52 | 
loss: 1.5831 | epoch: 9/20000 | score: 41 | time left: 1 day, 7:41:01 | avg_q: 1.2236 | epsilon: 1.0 | reward: -97 | avg time per epoch: 0:00:05 | time elapsed: 0:00:57 | 
loss: 3.2636 | epoch: 10/20000 | score: 41 | time left: 1 day, 7:13:28 | avg_q: 1.9596 | epsilon: 1.0 | reward: -97 | avg time per epoch: 0:00:05 | time elapsed: 0:01:01 | 
loss: 1.6574 | epoch: 11/20000 | score: 50 | time left: 1 day, 7:21:49 | avg_q: 1.6189 | epsilon: 1.0 | reward: -103 | avg time per epoch: 0:00:05 | time elapsed: 0:01:07 | 
loss: 3.1671 | epoch: 12/20000 | score: 60 | time left: 1 day, 7:49:30 | avg_q: 2.5391 | epsilon: 1.0 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:01:14 | 
loss: 3.2193 | epoch: 13/20000 | score: 43 | time left: 1 day, 7:30:59 | avg_q: 1.5475 | epsilon: 1.0 | reward: -100 | avg time per epoch: 0:00:05 | time elapsed: 0:01:19 | 
loss: 1.6441 | epoch: 14/20000 | score: 50 | time left: 1 day, 7:34:35 | avg_q: 2.2430 | epsilon: 1.0 | reward: -106 | avg time per epoch: 0:00:05 | time elapsed: 0:01:25 | 
loss: 0.2178 | epoch: 15/20000 | score: 51 | time left: 1 day, 7:38:30 | avg_q: 3.3803 | epsilon: 1.0 | reward: -102 | avg time per epoch: 0:00:05 | time elapsed: 0:01:31 | 
loss: 3.2258 | epoch: 16/20000 | score: 62 | time left: 1 day, 8:04:20 | avg_q: 3.2980 | epsilon: 1.0 | reward: -102 | avg time per epoch: 0:00:05 | time elapsed: 0:01:38 | 
