loss: No train | epoch: 0/20000 | score: 41 | time left: 10:23:21 | avg_q: 0.0165 | epsilon: 1.0 | reward: -100 | avg time per epoch: 0:00:01 | time elapsed: 0:00:01 | 
loss: 0.2113 | epoch: 1/20000 | score: 77 | time left: 1 day, 6:21:49 | avg_q: 0.3429 | epsilon: 1.0 | reward: -86 | avg time per epoch: 0:00:05 | time elapsed: 0:00:10 | 
loss: 4.7718 | epoch: 2/20000 | score: 42 | time left: 1 day, 5:21:21 | avg_q: 0.7493 | epsilon: 1.0 | reward: -104 | avg time per epoch: 0:00:05 | time elapsed: 0:00:15 | 
loss: 3.1217 | epoch: 3/20000 | score: 57 | time left: 1 day, 7:06:53 | avg_q: 1.2537 | epsilon: 1.0 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:00:22 | 
loss: 4.6506 | epoch: 4/20000 | score: 42 | time left: 1 day, 6:20:11 | avg_q: 0.5806 | epsilon: 1.0 | reward: -100 | avg time per epoch: 0:00:05 | time elapsed: 0:00:27 | 
loss: 0.1321 | epoch: 5/20000 | score: 52 | time left: 1 day, 6:49:18 | avg_q: 1.1740 | epsilon: 1.0 | reward: -93 | avg time per epoch: 0:00:05 | time elapsed: 0:00:33 | 
loss: 1.6161 | epoch: 6/20000 | score: 66 | time left: 1 day, 8:20:27 | avg_q: 1.5990 | epsilon: 1.0 | reward: -91 | avg time per epoch: 0:00:05 | time elapsed: 0:00:40 | 
loss: 0.0202 | epoch: 7/20000 | score: 51 | time left: 1 day, 8:20:14 | avg_q: 1.2644 | epsilon: 1.0 | reward: -104 | avg time per epoch: 0:00:05 | time elapsed: 0:00:46 | 
loss: 1.5991 | epoch: 8/20000 | score: 41 | time left: 1 day, 7:41:24 | avg_q: 1.5569 | epsilon: 1.0 | reward: -103 | avg time per epoch: 0:00:05 | time elapsed: 0:00:51 | 
loss: 0.0132 | epoch: 9/20000 | score: 42 | time left: 1 day, 7:14:58 | avg_q: 1.3868 | epsilon: 1.0 | reward: -100 | avg time per epoch: 0:00:05 | time elapsed: 0:00:56 | 
loss: 1.7515 | epoch: 10/20000 | score: 42 | time left: 1 day, 6:54:18 | avg_q: 2.4618 | epsilon: 1.0 | reward: -100 | avg time per epoch: 0:00:05 | time elapsed: 0:01:01 | 
loss: 1.6063 | epoch: 11/20000 | score: 51 | time left: 1 day, 7:01:08 | avg_q: 1.7164 | epsilon: 1.0 | reward: -106 | avg time per epoch: 0:00:05 | time elapsed: 0:01:07 | 
loss: 6.3124 | epoch: 12/20000 | score: 42 | time left: 1 day, 6:43:12 | avg_q: 2.6177 | epsilon: 1.0 | reward: -98 | avg time per epoch: 0:00:05 | time elapsed: 0:01:11 | 
loss: 3.1226 | epoch: 13/20000 | score: 42 | time left: 1 day, 6:28:28 | avg_q: 2.1998 | epsilon: 1.0 | reward: -98 | avg time per epoch: 0:00:05 | time elapsed: 0:01:16 | 
loss: 0.0200 | epoch: 14/20000 | score: 42 | time left: 1 day, 6:15:38 | avg_q: 2.4877 | epsilon: 1.0 | reward: -100 | avg time per epoch: 0:00:05 | time elapsed: 0:01:21 | 
loss: 3.3630 | epoch: 15/20000 | score: 42 | time left: 1 day, 6:04:33 | avg_q: 4.0177 | epsilon: 1.0 | reward: -100 | avg time per epoch: 0:00:05 | time elapsed: 0:01:26 | 
loss: 1.6665 | epoch: 16/20000 | score: 41 | time left: 1 day, 5:54:47 | avg_q: 2.3519 | epsilon: 1.0 | reward: -92 | avg time per epoch: 0:00:05 | time elapsed: 0:01:31 | 
loss: 3.3234 | epoch: 17/20000 | score: 54 | time left: 1 day, 6:07:54 | avg_q: 3.6923 | epsilon: 1.0 | reward: -94 | avg time per epoch: 0:00:05 | time elapsed: 0:01:37 | 
loss: 1.6384 | epoch: 18/20000 | score: 42 | time left: 1 day, 5:58:36 | avg_q: 3.3639 | epsilon: 1.0 | reward: -100 | avg time per epoch: 0:00:05 | time elapsed: 0:01:42 | 
loss: 1.5993 | epoch: 19/20000 | score: 51 | time left: 1 day, 6:05:26 | avg_q: 3.6666 | epsilon: 1.0 | reward: -96 | avg time per epoch: 0:00:05 | time elapsed: 0:01:48 | 
loss: 1.8357 | epoch: 20/20000 | score: 42 | time left: 1 day, 5:57:24 | avg_q: 5.1621 | epsilon: 1.0 | reward: -104 | avg time per epoch: 0:00:05 | time elapsed: 0:01:53 | 
loss: 0.0558 | epoch: 21/20000 | score: 71 | time left: 1 day, 6:36:50 | avg_q: 3.7309 | epsilon: 1.0 | reward: -94 | avg time per epoch: 0:00:05 | time elapsed: 0:02:01 | 
loss: 3.4207 | epoch: 22/20000 | score: 43 | time left: 1 day, 6:28:23 | avg_q: 5.6180 | epsilon: 1.0 | reward: -94 | avg time per epoch: 0:00:05 | time elapsed: 0:02:06 | 
loss: 0.1836 | epoch: 23/20000 | score: 52 | time left: 1 day, 6:34:28 | avg_q: 3.6385 | epsilon: 1.0 | reward: -105 | avg time per epoch: 0:00:05 | time elapsed: 0:02:12 | 
loss: 1.7990 | epoch: 24/20000 | score: 42 | time left: 1 day, 6:26:22 | avg_q: 4.6321 | epsilon: 1.0 | reward: -104 | avg time per epoch: 0:00:05 | time elapsed: 0:02:17 | 
loss: 1.8448 | epoch: 25/20000 | score: 67 | time left: 1 day, 6:51:59 | avg_q: 6.4876 | epsilon: 1.0 | reward: -93 | avg time per epoch: 0:00:05 | time elapsed: 0:02:24 | 
loss: 0.1124 | epoch: 26/20000 | score: 42 | time left: 1 day, 6:43:39 | avg_q: 5.1759 | epsilon: 1.0 | reward: -100 | avg time per epoch: 0:00:05 | time elapsed: 0:02:29 | 
loss: 0.1434 | epoch: 27/20000 | score: 41 | time left: 1 day, 6:35:53 | avg_q: 6.3537 | epsilon: 1.0 | reward: -92 | avg time per epoch: 0:00:05 | time elapsed: 0:02:34 | 
loss: 1.7866 | epoch: 28/20000 | score: 41 | time left: 1 day, 6:27:26 | avg_q: 4.7908 | epsilon: 1.0 | reward: -99 | avg time per epoch: 0:00:05 | time elapsed: 0:02:39 | 
loss: 1.7238 | epoch: 29/20000 | score: 67 | time left: 1 day, 6:50:42 | avg_q: 5.8598 | epsilon: 1.0 | reward: -108 | avg time per epoch: 0:00:05 | time elapsed: 0:02:46 | 
loss: 3.6020 | epoch: 30/20000 | score: 52 | time left: 1 day, 6:55:11 | avg_q: 7.3818 | epsilon: 1.0 | reward: -103 | avg time per epoch: 0:00:05 | time elapsed: 0:02:52 | 
