loss: No train | epoch: 0/20000 | score: 41 | time left: 10:31:22 | avg_q: 0.0300 | epsilon: 1.0 | reward: -100 | avg time per epoch: 0:00:01 | time elapsed: 0:00:01 | 
loss: No train | epoch: 1/20000 | score: 42 | time left: 19:07:03 | avg_q: 0.0300 | epsilon: 1.0 | reward: -108 | avg time per epoch: 0:00:03 | time elapsed: 0:00:06 | 
loss: 0.2082 | epoch: 2/20000 | score: 51 | time left: 1 day, 0:36:03 | avg_q: 0.0751 | epsilon: 1.0 | reward: -94 | avg time per epoch: 0:00:04 | time elapsed: 0:00:13 | 
loss: 1.6783 | epoch: 3/20000 | score: 59 | time left: 1 day, 3:56:06 | avg_q: 0.7092 | epsilon: 1.0 | reward: -104 | avg time per epoch: 0:00:05 | time elapsed: 0:00:20 | 
loss: 1.6966 | epoch: 4/20000 | score: 42 | time left: 1 day, 3:50:11 | avg_q: 1.6548 | epsilon: 1.0 | reward: -97 | avg time per epoch: 0:00:05 | time elapsed: 0:00:25 | 
loss: 1.7903 | epoch: 5/20000 | score: 41 | time left: 1 day, 3:43:35 | avg_q: 3.3971 | epsilon: 1.0 | reward: -102 | avg time per epoch: 0:00:04 | time elapsed: 0:00:29 | 
loss: 5.3385 | epoch: 6/20000 | score: 41 | time left: 1 day, 3:34:17 | avg_q: 5.0389 | epsilon: 1.0 | reward: -97 | avg time per epoch: 0:00:04 | time elapsed: 0:00:34 | 
loss: 4.0523 | epoch: 7/20000 | score: 42 | time left: 1 day, 3:33:33 | avg_q: 7.0696 | epsilon: 1.0 | reward: -96 | avg time per epoch: 0:00:04 | time elapsed: 0:00:39 | 
loss: 2.1476 | epoch: 8/20000 | score: 42 | time left: 1 day, 3:31:51 | avg_q: 11.2756 | epsilon: 1.0 | reward: -100 | avg time per epoch: 0:00:04 | time elapsed: 0:00:44 | 
loss: 0.5051 | epoch: 9/20000 | score: 42 | time left: 1 day, 3:33:14 | avg_q: 17.3460 | epsilon: 1.0 | reward: -99 | avg time per epoch: 0:00:04 | time elapsed: 0:00:49 | 
loss: 3.0499 | epoch: 10/20000 | score: 54 | time left: 1 day, 4:11:45 | avg_q: 21.3807 | epsilon: 1.0 | reward: -99 | avg time per epoch: 0:00:05 | time elapsed: 0:00:55 | 
