loss: 1.6798 | epoch: 0/20000 | score: 50 | time left: 1 day, 20:52:17 | avg_q: 0.4908 | epsilon: 1.0 | reward: -78 | avg time per epoch: 0:00:08 | time elapsed: 0:00:08 | 
loss: 1.6950 | epoch: 1/20000 | score: 47 | time left: 1 day, 14:33:56 | avg_q: 1.3962 | epsilon: 1.0 | reward: -90 | avg time per epoch: 0:00:06 | time elapsed: 0:00:13 | 
loss: 0.2115 | epoch: 2/20000 | score: 52 | time left: 1 day, 12:46:58 | avg_q: 2.9609 | epsilon: 1.0 | reward: -86 | avg time per epoch: 0:00:06 | time elapsed: 0:00:19 | 
loss: 1.8985 | epoch: 3/20000 | score: 49 | time left: 1 day, 11:29:18 | avg_q: 6.1500 | epsilon: 1.0 | reward: -87 | avg time per epoch: 0:00:06 | time elapsed: 0:00:25 | 
loss: 2.2763 | epoch: 4/20000 | score: 42 | time left: 1 day, 9:52:40 | avg_q: 9.6069 | epsilon: 1.0 | reward: -91 | avg time per epoch: 0:00:06 | time elapsed: 0:00:30 | 
loss: 5.6280 | epoch: 5/20000 | score: 42 | time left: 1 day, 8:49:44 | avg_q: 13.2362 | epsilon: 1.0 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:00:35 | 
loss: 0.7808 | epoch: 6/20000 | score: 57 | time left: 1 day, 9:22:21 | avg_q: 18.6194 | epsilon: 1.0 | reward: -85 | avg time per epoch: 0:00:06 | time elapsed: 0:00:42 | 
loss: 3.0761 | epoch: 7/20000 | score: 43 | time left: 1 day, 8:37:32 | avg_q: 29.9793 | epsilon: 1.0 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:00:46 | 
loss: 1.9573 | epoch: 8/20000 | score: 52 | time left: 1 day, 8:42:39 | avg_q: 50.0673 | epsilon: 1.0 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:00:53 | 
loss: 6.5976 | epoch: 9/20000 | score: 42 | time left: 1 day, 8:10:29 | avg_q: 53.1056 | epsilon: 1.0 | reward: -92 | avg time per epoch: 0:00:05 | time elapsed: 0:00:57 | 
loss: 3.4151 | epoch: 10/20000 | score: 58 | time left: 1 day, 8:34:04 | avg_q: 63.0046 | epsilon: 1.0 | reward: -86 | avg time per epoch: 0:00:05 | time elapsed: 0:01:04 | 
loss: 3.5100 | epoch: 11/20000 | score: 74 | time left: 1 day, 9:45:10 | avg_q: 56.3828 | epsilon: 1.0 | reward: -79 | avg time per epoch: 0:00:06 | time elapsed: 0:01:12 | 
loss: 6.1626 | epoch: 12/20000 | score: 76 | time left: 1 day, 10:47:27 | avg_q: 83.8633 | epsilon: 1.0 | reward: -79 | avg time per epoch: 0:00:06 | time elapsed: 0:01:21 | 
loss: 4.6659 | epoch: 13/20000 | score: 42 | time left: 1 day, 10:15:25 | avg_q: 82.6208 | epsilon: 1.0 | reward: -90 | avg time per epoch: 0:00:06 | time elapsed: 0:01:26 | 
loss: 7.8015 | epoch: 14/20000 | score: 43 | time left: 1 day, 9:48:05 | avg_q: 97.7047 | epsilon: 1.0 | reward: -92 | avg time per epoch: 0:00:06 | time elapsed: 0:01:31 | 
loss: 5.9739 | epoch: 15/20000 | score: 41 | time left: 1 day, 9:24:07 | avg_q: 91.8925 | epsilon: 1.0 | reward: -92 | avg time per epoch: 0:00:06 | time elapsed: 0:01:36 | 
loss: 5.8468 | epoch: 16/20000 | score: 42 | time left: 1 day, 9:02:38 | avg_q: 72.4975 | epsilon: 1.0 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:01:41 | 
loss: 13.3139 | epoch: 17/20000 | score: 42 | time left: 1 day, 8:43:45 | avg_q: 54.9645 | epsilon: 1.0 | reward: -91 | avg time per epoch: 0:00:05 | time elapsed: 0:01:46 | 
loss: 5.2467 | epoch: 18/20000 | score: 42 | time left: 1 day, 8:26:37 | avg_q: 54.0956 | epsilon: 1.0 | reward: -94 | avg time per epoch: 0:00:05 | time elapsed: 0:01:51 | 
loss: 2.7461 | epoch: 19/20000 | score: 41 | time left: 1 day, 8:11:08 | avg_q: 53.0474 | epsilon: 1.0 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:01:55 | 
loss: 7.7266 | epoch: 20/20000 | score: 52 | time left: 1 day, 8:14:07 | avg_q: 51.4980 | epsilon: 1.0 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:02:01 | 
loss: 8.0018 | epoch: 21/20000 | score: 42 | time left: 1 day, 8:04:09 | avg_q: 45.3548 | epsilon: 1.0 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:02:07 | 
loss: 5.4726 | epoch: 22/20000 | score: 41 | time left: 1 day, 7:51:53 | avg_q: 45.3446 | epsilon: 1.0 | reward: -88 | avg time per epoch: 0:00:05 | time elapsed: 0:02:12 | 
loss: 4.2334 | epoch: 23/20000 | score: 69 | time left: 1 day, 8:20:01 | avg_q: 38.4790 | epsilon: 1.0 | reward: -84 | avg time per epoch: 0:00:05 | time elapsed: 0:02:19 | 
