loss: No train | epoch: 1/20000 | score: 51 | time left: 17:06:22 | avg_q: 0.0324 | epsilon: 1.0 | reward: -95 | avg time per epoch: 0:00:03 | time elapsed: 0:00:03 | 
loss: No train | epoch: 2/20000 | score: 42 | time left: 22:44:28 | avg_q: 0.0324 | epsilon: 1.0 | reward: -92 | avg time per epoch: 0:00:04 | time elapsed: 0:00:08 | 
loss: 6.6803 | epoch: 3/20000 | score: 42 | time left: 1 day, 1:30:09 | avg_q: 0.3914 | epsilon: 1.0 | reward: -91 | avg time per epoch: 0:00:04 | time elapsed: 0:00:13 | 
loss: 3.4555 | epoch: 4/20000 | score: 42 | time left: 1 day, 2:05:13 | avg_q: 1.1098 | epsilon: 1.0 | reward: -90 | avg time per epoch: 0:00:04 | time elapsed: 0:00:18 | 
loss: 9.6331 | epoch: 5/20000 | score: 57 | time left: 1 day, 4:10:42 | avg_q: 0.4947 | epsilon: 1.0 | reward: -83 | avg time per epoch: 0:00:05 | time elapsed: 0:00:25 | 
loss: 9.6919 | epoch: 6/20000 | score: 54 | time left: 1 day, 5:17:03 | avg_q: 0.8087 | epsilon: 1.0 | reward: -85 | avg time per epoch: 0:00:05 | time elapsed: 0:00:31 | 
loss: 6.4366 | epoch: 7/20000 | score: 42 | time left: 1 day, 5:01:02 | avg_q: 0.9024 | epsilon: 1.0 | reward: -92 | avg time per epoch: 0:00:05 | time elapsed: 0:00:36 | 
loss: 3.2810 | epoch: 8/20000 | score: 65 | time left: 1 day, 6:33:08 | avg_q: 0.8845 | epsilon: 1.0 | reward: -80 | avg time per epoch: 0:00:05 | time elapsed: 0:00:44 | 
loss: 6.3731 | epoch: 9/20000 | score: 50 | time left: 1 day, 6:43:15 | avg_q: 1.0495 | epsilon: 1.0 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:00:49 | 
loss: 12.6748 | epoch: 10/20000 | score: 52 | time left: 1 day, 6:57:56 | avg_q: 0.6684 | epsilon: 1.0 | reward: -84 | avg time per epoch: 0:00:05 | time elapsed: 0:00:55 | 
loss: 0.2311 | epoch: 11/20000 | score: 52 | time left: 1 day, 7:09:48 | avg_q: 1.1385 | epsilon: 1.0 | reward: -88 | avg time per epoch: 0:00:05 | time elapsed: 0:01:01 | 
loss: 18.9899 | epoch: 12/20000 | score: 42 | time left: 1 day, 6:51:30 | avg_q: 0.4833 | epsilon: 1.0 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:01:06 | 
loss: 3.3824 | epoch: 13/20000 | score: 42 | time left: 1 day, 6:35:11 | avg_q: 0.6826 | epsilon: 1.0 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:01:11 | 
loss: 6.4423 | epoch: 14/20000 | score: 42 | time left: 1 day, 6:22:50 | avg_q: 0.9128 | epsilon: 1.0 | reward: -84 | avg time per epoch: 0:00:05 | time elapsed: 0:01:16 | 
loss: 12.5942 | epoch: 15/20000 | score: 42 | time left: 1 day, 6:11:30 | avg_q: 0.7864 | epsilon: 1.0 | reward: -91 | avg time per epoch: 0:00:05 | time elapsed: 0:01:21 | 
loss: 6.4106 | epoch: 16/20000 | score: 42 | time left: 1 day, 6:01:02 | avg_q: 0.9497 | epsilon: 1.0 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:01:26 | 
loss: 0.0632 | epoch: 17/20000 | score: 42 | time left: 1 day, 5:51:19 | avg_q: 0.9955 | epsilon: 1.0 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:01:31 | 
loss: 6.3169 | epoch: 18/20000 | score: 42 | time left: 1 day, 5:43:29 | avg_q: 0.8488 | epsilon: 1.0 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:01:36 | 
loss: 9.4602 | epoch: 19/20000 | score: 42 | time left: 1 day, 5:36:18 | avg_q: 0.8645 | epsilon: 1.0 | reward: -85 | avg time per epoch: 0:00:05 | time elapsed: 0:01:41 | 
loss: 3.2784 | epoch: 20/20000 | score: 52 | time left: 1 day, 5:48:16 | avg_q: 1.1159 | epsilon: 1.0 | reward: -82 | avg time per epoch: 0:00:05 | time elapsed: 0:01:47 | 
loss: 10.3341 | epoch: 21/20000 | score: 91 | time left: 1 day, 7:02:15 | avg_q: 2.1574 | epsilon: 1.0 | reward: -70 | avg time per epoch: 0:00:05 | time elapsed: 0:01:57 | 
