loss: No train | epoch: 1/20000 | score: 51 | time left: 23:49:02 | avg_q: 0.0182 | epsilon: 1.0 | reward: -89 | avg time per epoch: 0:00:04 | time elapsed: 0:00:04 | 
loss: 6.7735 | epoch: 2/20000 | score: 42 | time left: 1 day, 3:52:10 | avg_q: 0.2081 | epsilon: 1.0 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:00:10 | 
loss: 6.6711 | epoch: 3/20000 | score: 43 | time left: 1 day, 3:42:55 | avg_q: 0.3563 | epsilon: 1.0 | reward: -93 | avg time per epoch: 0:00:04 | time elapsed: 0:00:14 | 
loss: 12.8317 | epoch: 4/20000 | score: 42 | time left: 1 day, 3:39:56 | avg_q: 0.5038 | epsilon: 1.0 | reward: -92 | avg time per epoch: 0:00:04 | time elapsed: 0:00:19 | 
loss: 9.6875 | epoch: 5/20000 | score: 42 | time left: 1 day, 3:37:32 | avg_q: 0.5939 | epsilon: 1.0 | reward: -86 | avg time per epoch: 0:00:04 | time elapsed: 0:00:24 | 
loss: 6.4785 | epoch: 6/20000 | score: 89 | time left: 1 day, 8:02:57 | avg_q: 0.6768 | epsilon: 1.0 | reward: -74 | avg time per epoch: 0:00:05 | time elapsed: 0:00:34 | 
loss: 3.3084 | epoch: 7/20000 | score: 76 | time left: 1 day, 10:15:08 | avg_q: 0.7697 | epsilon: 1.0 | reward: -79 | avg time per epoch: 0:00:06 | time elapsed: 0:00:43 | 
loss: 6.4054 | epoch: 8/20000 | score: 49 | time left: 1 day, 9:55:17 | avg_q: 0.9054 | epsilon: 1.0 | reward: -84 | avg time per epoch: 0:00:06 | time elapsed: 0:00:48 | 
loss: 12.6830 | epoch: 9/20000 | score: 49 | time left: 1 day, 9:40:15 | avg_q: 0.7703 | epsilon: 1.0 | reward: -88 | avg time per epoch: 0:00:06 | time elapsed: 0:00:54 | 
loss: 9.5368 | epoch: 10/20000 | score: 51 | time left: 1 day, 9:35:04 | avg_q: 0.8650 | epsilon: 1.0 | reward: -89 | avg time per epoch: 0:00:06 | time elapsed: 0:01:00 | 
loss: 10.2329 | epoch: 11/20000 | score: 42 | time left: 1 day, 9:04:19 | avg_q: 1.0941 | epsilon: 1.0 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:01:05 | 
loss: 6.9716 | epoch: 12/20000 | score: 42 | time left: 1 day, 8:36:23 | avg_q: 1.4543 | epsilon: 1.0 | reward: -92 | avg time per epoch: 0:00:05 | time elapsed: 0:01:10 | 
loss: 19.2748 | epoch: 13/20000 | score: 42 | time left: 1 day, 8:12:49 | avg_q: 1.6412 | epsilon: 1.0 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:01:15 | 
loss: 6.6621 | epoch: 14/20000 | score: 72 | time left: 1 day, 9:07:29 | avg_q: 1.6146 | epsilon: 1.0 | reward: -78 | avg time per epoch: 0:00:05 | time elapsed: 0:01:23 | 
loss: 9.8405 | epoch: 15/20000 | score: 42 | time left: 1 day, 8:44:58 | avg_q: 1.7473 | epsilon: 1.0 | reward: -92 | avg time per epoch: 0:00:05 | time elapsed: 0:01:28 | 
loss: 6.5654 | epoch: 16/20000 | score: 84 | time left: 1 day, 9:55:38 | avg_q: 1.7955 | epsilon: 1.0 | reward: -75 | avg time per epoch: 0:00:06 | time elapsed: 0:01:37 | 
loss: 19.1394 | epoch: 17/20000 | score: 42 | time left: 1 day, 9:32:47 | avg_q: 1.5859 | epsilon: 1.0 | reward: -91 | avg time per epoch: 0:00:06 | time elapsed: 0:01:42 | 
loss: 9.7199 | epoch: 18/20000 | score: 42 | time left: 1 day, 9:12:28 | avg_q: 1.8448 | epsilon: 1.0 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:01:47 | 
loss: 6.5084 | epoch: 19/20000 | score: 59 | time left: 1 day, 9:25:34 | avg_q: 1.6805 | epsilon: 1.0 | reward: -83 | avg time per epoch: 0:00:06 | time elapsed: 0:01:54 | 
loss: 6.4417 | epoch: 20/20000 | score: 42 | time left: 1 day, 9:07:35 | avg_q: 1.7185 | epsilon: 1.0 | reward: -91 | avg time per epoch: 0:00:05 | time elapsed: 0:01:59 | 
loss: 16.6936 | epoch: 21/20000 | score: 42 | time left: 1 day, 8:51:29 | avg_q: 2.1631 | epsilon: 1.0 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:02:04 | 
loss: 6.8813 | epoch: 22/20000 | score: 54 | time left: 1 day, 8:58:25 | avg_q: 2.8595 | epsilon: 1.0 | reward: -83 | avg time per epoch: 0:00:05 | time elapsed: 0:02:10 | 
loss: 9.8987 | epoch: 23/20000 | score: 72 | time left: 1 day, 9:29:41 | avg_q: 2.5641 | epsilon: 1.0 | reward: -78 | avg time per epoch: 0:00:06 | time elapsed: 0:02:18 | 
loss: 6.6836 | epoch: 24/20000 | score: 64 | time left: 1 day, 9:45:39 | avg_q: 2.6077 | epsilon: 1.0 | reward: -83 | avg time per epoch: 0:00:06 | time elapsed: 0:02:26 | 
loss: 9.8158 | epoch: 25/20000 | score: 71 | time left: 1 day, 10:10:38 | avg_q: 2.4997 | epsilon: 1.0 | reward: -79 | avg time per epoch: 0:00:06 | time elapsed: 0:02:33 | 
loss: 9.8720 | epoch: 26/20000 | score: 42 | time left: 1 day, 9:55:05 | avg_q: 2.6274 | epsilon: 1.0 | reward: -92 | avg time per epoch: 0:00:06 | time elapsed: 0:02:38 | 
loss: 6.5589 | epoch: 27/20000 | score: 91 | time left: 1 day, 10:43:46 | avg_q: 2.6590 | epsilon: 1.0 | reward: -68 | avg time per epoch: 0:00:06 | time elapsed: 0:02:49 | 
loss: 13.0316 | epoch: 28/20000 | score: 42 | time left: 1 day, 10:27:45 | avg_q: 2.5182 | epsilon: 1.0 | reward: -91 | avg time per epoch: 0:00:06 | time elapsed: 0:02:53 | 
loss: 28.8700 | epoch: 29/20000 | score: 42 | time left: 1 day, 10:13:01 | avg_q: 2.0603 | epsilon: 0.99 | reward: -90 | avg time per epoch: 0:00:06 | time elapsed: 0:02:58 | 
loss: 13.1758 | epoch: 30/20000 | score: 42 | time left: 1 day, 9:59:21 | avg_q: 2.7726 | epsilon: 0.99 | reward: -87 | avg time per epoch: 0:00:06 | time elapsed: 0:03:03 | 
loss: 20.0600 | epoch: 31/20000 | score: 42 | time left: 1 day, 9:46:47 | avg_q: 3.3862 | epsilon: 0.99 | reward: -88 | avg time per epoch: 0:00:06 | time elapsed: 0:03:08 | 
loss: 13.3078 | epoch: 32/20000 | score: 52 | time left: 1 day, 9:45:44 | avg_q: 3.5575 | epsilon: 0.99 | reward: -90 | avg time per epoch: 0:00:06 | time elapsed: 0:03:14 | 
loss: 10.0872 | epoch: 33/20000 | score: 42 | time left: 1 day, 9:34:13 | avg_q: 3.5543 | epsilon: 0.99 | reward: -86 | avg time per epoch: 0:00:06 | time elapsed: 0:03:19 | 
loss: 16.5388 | epoch: 34/20000 | score: 42 | time left: 1 day, 9:23:18 | avg_q: 3.6732 | epsilon: 0.99 | reward: -91 | avg time per epoch: 0:00:06 | time elapsed: 0:03:24 | 
loss: 6.7209 | epoch: 35/20000 | score: 57 | time left: 1 day, 9:28:44 | avg_q: 3.8432 | epsilon: 0.99 | reward: -84 | avg time per epoch: 0:00:06 | time elapsed: 0:03:31 | 
loss: 13.2708 | epoch: 36/20000 | score: 92 | time left: 1 day, 10:05:44 | avg_q: 3.1690 | epsilon: 0.99 | reward: -69 | avg time per epoch: 0:00:06 | time elapsed: 0:03:41 | 
loss: 0.6313 | epoch: 37/20000 | score: 42 | time left: 1 day, 9:54:53 | avg_q: 3.9230 | epsilon: 0.99 | reward: -92 | avg time per epoch: 0:00:06 | time elapsed: 0:03:46 | 
loss: 22.8863 | epoch: 38/20000 | score: 43 | time left: 1 day, 9:44:40 | avg_q: 3.3583 | epsilon: 0.99 | reward: -91 | avg time per epoch: 0:00:06 | time elapsed: 0:03:51 | 
loss: 16.4753 | epoch: 39/20000 | score: 42 | time left: 1 day, 9:34:51 | avg_q: 3.7414 | epsilon: 0.99 | reward: -90 | avg time per epoch: 0:00:06 | time elapsed: 0:03:56 | 
loss: 13.2035 | epoch: 40/20000 | score: 53 | time left: 1 day, 9:34:22 | avg_q: 3.4521 | epsilon: 0.99 | reward: -87 | avg time per epoch: 0:00:06 | time elapsed: 0:04:02 | 
loss: 10.4439 | epoch: 41/20000 | score: 42 | time left: 1 day, 9:25:24 | avg_q: 4.3437 | epsilon: 0.99 | reward: -90 | avg time per epoch: 0:00:06 | time elapsed: 0:04:07 | 
loss: 6.7828 | epoch: 42/20000 | score: 42 | time left: 1 day, 9:18:35 | avg_q: 4.5278 | epsilon: 0.99 | reward: -90 | avg time per epoch: 0:00:06 | time elapsed: 0:04:12 | 
loss: 10.0799 | epoch: 43/20000 | score: 67 | time left: 1 day, 9:30:14 | avg_q: 4.4000 | epsilon: 0.99 | reward: -85 | avg time per epoch: 0:00:06 | time elapsed: 0:04:19 | 
loss: 6.9511 | epoch: 44/20000 | score: 42 | time left: 1 day, 9:21:57 | avg_q: 4.3271 | epsilon: 0.99 | reward: -95 | avg time per epoch: 0:00:06 | time elapsed: 0:04:24 | 
loss: 3.6448 | epoch: 45/20000 | score: 61 | time left: 1 day, 9:28:15 | avg_q: 4.2735 | epsilon: 0.98 | reward: -80 | avg time per epoch: 0:00:06 | time elapsed: 0:04:31 | 
loss: 6.8293 | epoch: 46/20000 | score: 42 | time left: 1 day, 9:20:16 | avg_q: 3.9576 | epsilon: 0.98 | reward: -90 | avg time per epoch: 0:00:06 | time elapsed: 0:04:36 | 
loss: 10.0650 | epoch: 47/20000 | score: 63 | time left: 1 day, 9:27:39 | avg_q: 4.6393 | epsilon: 0.98 | reward: -87 | avg time per epoch: 0:00:06 | time elapsed: 0:04:43 | 
loss: 16.7521 | epoch: 48/20000 | score: 42 | time left: 1 day, 9:20:02 | avg_q: 3.5371 | epsilon: 0.98 | reward: -88 | avg time per epoch: 0:00:06 | time elapsed: 0:04:48 | 
loss: 19.9194 | epoch: 49/20000 | score: 43 | time left: 1 day, 9:12:46 | avg_q: 4.1051 | epsilon: 0.98 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:04:53 | 
loss: 13.2048 | epoch: 50/20000 | score: 68 | time left: 1 day, 9:23:48 | avg_q: 4.2439 | epsilon: 0.98 | reward: -84 | avg time per epoch: 0:00:06 | time elapsed: 0:05:01 | 
loss: 10.7445 | epoch: 51/20000 | score: 42 | time left: 1 day, 9:16:46 | avg_q: 4.8406 | epsilon: 0.98 | reward: -89 | avg time per epoch: 0:00:06 | time elapsed: 0:05:06 | 
loss: 6.9762 | epoch: 52/20000 | score: 42 | time left: 1 day, 9:09:56 | avg_q: 5.4159 | epsilon: 0.98 | reward: -93 | avg time per epoch: 0:00:05 | time elapsed: 0:05:11 | 
loss: 13.5660 | epoch: 53/20000 | score: 43 | time left: 1 day, 9:04:20 | avg_q: 4.9663 | epsilon: 0.98 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:05:16 | 
loss: 16.6558 | epoch: 54/20000 | score: 65 | time left: 1 day, 9:12:49 | avg_q: 5.1617 | epsilon: 0.98 | reward: -76 | avg time per epoch: 0:00:05 | time elapsed: 0:05:23 | 
loss: 0.4619 | epoch: 55/20000 | score: 42 | time left: 1 day, 9:06:35 | avg_q: 4.9279 | epsilon: 0.98 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:05:28 | 
