loss: 5.7261 | epoch: 1/30000 | score: 41 | time left: 3 days, 0:41:24 | avg_q: -0.0289 | epsilon: 1.0 | reward: -206 | avg time per epoch: 0:00:08 | time elapsed: 0:00:08 | 
loss: 9.5171 | epoch: 2/30000 | score: 42 | time left: 2 days, 10:01:19 | avg_q: -0.0708 | epsilon: 1.0 | reward: -145 | avg time per epoch: 0:00:06 | time elapsed: 0:00:13 | 
loss: 9.0079 | epoch: 3/30000 | score: 42 | time left: 2 days, 4:22:16 | avg_q: -0.0664 | epsilon: 1.0 | reward: -131 | avg time per epoch: 0:00:06 | time elapsed: 0:00:18 | 
loss: 6.2307 | epoch: 4/30000 | score: 57 | time left: 2 days, 4:41:20 | avg_q: -0.1150 | epsilon: 1.0 | reward: -188 | avg time per epoch: 0:00:06 | time elapsed: 0:00:25 | 
loss: 2.4661 | epoch: 5/30000 | score: 51 | time left: 2 days, 3:59:33 | avg_q: -0.0910 | epsilon: 1.0 | reward: -145 | avg time per epoch: 0:00:06 | time elapsed: 0:00:31 | 
loss: 11.8523 | epoch: 6/30000 | score: 42 | time left: 2 days, 2:08:30 | avg_q: -0.1903 | epsilon: 1.0 | reward: -145 | avg time per epoch: 0:00:06 | time elapsed: 0:00:36 | 
loss: 20.6415 | epoch: 7/30000 | score: 41 | time left: 2 days, 0:50:29 | avg_q: -0.3528 | epsilon: 1.0 | reward: -133 | avg time per epoch: 0:00:05 | time elapsed: 0:00:41 | 
loss: 4.9099 | epoch: 8/30000 | score: 73 | time left: 2 days, 3:11:32 | avg_q: -0.2696 | epsilon: 1.0 | reward: -215 | avg time per epoch: 0:00:06 | time elapsed: 0:00:49 | 
loss: 7.4994 | epoch: 9/30000 | score: 49 | time left: 2 days, 2:47:26 | avg_q: -0.3243 | epsilon: 1.0 | reward: -159 | avg time per epoch: 0:00:06 | time elapsed: 0:00:54 | 
loss: 0.8850 | epoch: 10/30000 | score: 41 | time left: 2 days, 1:43:19 | avg_q: -0.1182 | epsilon: 1.0 | reward: -126 | avg time per epoch: 0:00:05 | time elapsed: 0:00:59 | 
loss: 3.9255 | epoch: 11/30000 | score: 58 | time left: 2 days, 2:12:09 | avg_q: 0.1738 | epsilon: 1.0 | reward: -175 | avg time per epoch: 0:00:06 | time elapsed: 0:01:06 | 
loss: 10.0079 | epoch: 12/30000 | score: 50 | time left: 2 days, 2:11:55 | avg_q: 0.2346 | epsilon: 1.0 | reward: -162 | avg time per epoch: 0:00:06 | time elapsed: 0:01:12 | 
