loss: No train | epoch: 1/30000 | score: 41 | time left: 19:07:39 | avg_q: 0.0115 | epsilon: 0.1 | reward: -100 | avg time per epoch: 0:00:02 | time elapsed: 0:00:02 | 
loss: 7.1854 | epoch: 2/30000 | score: 61 | time left: 1 day, 17:04:28 | avg_q: 0.0941 | epsilon: 0.1 | reward: -85 | avg time per epoch: 0:00:04 | time elapsed: 0:00:09 | 
loss: 7.1197 | epoch: 3/30000 | score: 41 | time left: 1 day, 16:29:05 | avg_q: 0.2048 | epsilon: 0.1 | reward: -76 | avg time per epoch: 0:00:04 | time elapsed: 0:00:14 | 
loss: 10.1112 | epoch: 4/30000 | score: 41 | time left: 1 day, 16:12:59 | avg_q: 0.3728 | epsilon: 0.1 | reward: -80 | avg time per epoch: 0:00:04 | time elapsed: 0:00:19 | 
loss: 3.8160 | epoch: 5/30000 | score: 41 | time left: 1 day, 16:04:27 | avg_q: 0.5741 | epsilon: 0.1 | reward: -80 | avg time per epoch: 0:00:04 | time elapsed: 0:00:24 | 
loss: 3.6858 | epoch: 6/30000 | score: 49 | time left: 1 day, 17:10:54 | avg_q: 0.7524 | epsilon: 0.1 | reward: -71 | avg time per epoch: 0:00:04 | time elapsed: 0:00:29 | 
loss: 3.3366 | epoch: 7/30000 | score: 41 | time left: 1 day, 16:55:18 | avg_q: 0.9280 | epsilon: 0.1 | reward: -78 | avg time per epoch: 0:00:04 | time elapsed: 0:00:34 | 
loss: 6.5995 | epoch: 8/30000 | score: 41 | time left: 1 day, 16:44:28 | avg_q: 0.7967 | epsilon: 0.1 | reward: -77 | avg time per epoch: 0:00:04 | time elapsed: 0:00:39 | 
loss: 6.5102 | epoch: 9/30000 | score: 41 | time left: 1 day, 16:34:44 | avg_q: 0.8672 | epsilon: 0.1 | reward: -76 | avg time per epoch: 0:00:04 | time elapsed: 0:00:43 | 
loss: 12.7497 | epoch: 10/30000 | score: 41 | time left: 1 day, 16:27:38 | avg_q: 0.8295 | epsilon: 0.1 | reward: -78 | avg time per epoch: 0:00:04 | time elapsed: 0:00:48 | 
loss: 3.3847 | epoch: 11/30000 | score: 41 | time left: 1 day, 16:21:28 | avg_q: 0.9339 | epsilon: 0.1 | reward: -76 | avg time per epoch: 0:00:04 | time elapsed: 0:00:53 | 
loss: 9.6148 | epoch: 12/30000 | score: 41 | time left: 1 day, 16:19:02 | avg_q: 0.8409 | epsilon: 0.1 | reward: -76 | avg time per epoch: 0:00:04 | time elapsed: 0:00:58 | 
loss: 0.2374 | epoch: 13/30000 | score: 41 | time left: 1 day, 16:17:54 | avg_q: 0.9873 | epsilon: 0.1 | reward: -75 | avg time per epoch: 0:00:04 | time elapsed: 0:01:02 | 
loss: 9.4721 | epoch: 14/30000 | score: 41 | time left: 1 day, 16:15:07 | avg_q: 0.8894 | epsilon: 0.1 | reward: -76 | avg time per epoch: 0:00:04 | time elapsed: 0:01:07 | 
loss: 3.3197 | epoch: 15/30000 | score: 41 | time left: 1 day, 16:11:46 | avg_q: 0.9541 | epsilon: 0.1 | reward: -76 | avg time per epoch: 0:00:04 | time elapsed: 0:01:12 | 
loss: 6.3979 | epoch: 16/30000 | score: 41 | time left: 1 day, 16:08:18 | avg_q: 0.8846 | epsilon: 0.1 | reward: -78 | avg time per epoch: 0:00:04 | time elapsed: 0:01:17 | 
loss: 0.1105 | epoch: 17/30000 | score: 41 | time left: 1 day, 16:08:21 | avg_q: 1.0451 | epsilon: 0.1 | reward: -75 | avg time per epoch: 0:00:04 | time elapsed: 0:01:21 | 
loss: 6.3681 | epoch: 18/30000 | score: 41 | time left: 1 day, 16:07:27 | avg_q: 0.9046 | epsilon: 0.1 | reward: -75 | avg time per epoch: 0:00:04 | time elapsed: 0:01:26 | 
loss: 9.5640 | epoch: 19/30000 | score: 41 | time left: 1 day, 16:05:55 | avg_q: 0.8520 | epsilon: 0.1 | reward: -79 | avg time per epoch: 0:00:04 | time elapsed: 0:01:31 | 
loss: 0.1937 | epoch: 20/30000 | score: 41 | time left: 1 day, 16:03:45 | avg_q: 1.1112 | epsilon: 0.1 | reward: -76 | avg time per epoch: 0:00:04 | time elapsed: 0:01:36 | 
loss: 4.0701 | epoch: 21/30000 | score: 49 | time left: 1 day, 16:23:27 | avg_q: 1.7863 | epsilon: 0.1 | reward: -69 | avg time per epoch: 0:00:04 | time elapsed: 0:01:41 | 
loss: 9.8144 | epoch: 22/30000 | score: 41 | time left: 1 day, 16:23:09 | avg_q: 1.8951 | epsilon: 0.1 | reward: -79 | avg time per epoch: 0:00:04 | time elapsed: 0:01:46 | 
loss: 3.3077 | epoch: 23/30000 | score: 41 | time left: 1 day, 16:22:08 | avg_q: 2.0374 | epsilon: 0.1 | reward: -75 | avg time per epoch: 0:00:04 | time elapsed: 0:01:51 | 
loss: 6.5207 | epoch: 24/30000 | score: 41 | time left: 1 day, 16:19:02 | avg_q: 1.6687 | epsilon: 0.1 | reward: -76 | avg time per epoch: 0:00:04 | time elapsed: 0:01:56 | 
loss: 0.3848 | epoch: 25/30000 | score: 41 | time left: 1 day, 16:17:57 | avg_q: 2.2508 | epsilon: 0.1 | reward: -77 | avg time per epoch: 0:00:04 | time elapsed: 0:02:00 | 
loss: 6.7664 | epoch: 26/30000 | score: 49 | time left: 1 day, 16:32:53 | avg_q: 1.6810 | epsilon: 0.1 | reward: -69 | avg time per epoch: 0:00:04 | time elapsed: 0:02:06 | 
loss: 3.5390 | epoch: 27/30000 | score: 41 | time left: 1 day, 16:30:03 | avg_q: 1.9517 | epsilon: 0.1 | reward: -76 | avg time per epoch: 0:00:04 | time elapsed: 0:02:11 | 
loss: 3.3490 | epoch: 28/30000 | score: 41 | time left: 1 day, 16:27:01 | avg_q: 1.8327 | epsilon: 0.1 | reward: -80 | avg time per epoch: 0:00:04 | time elapsed: 0:02:16 | 
loss: 9.6698 | epoch: 29/30000 | score: 41 | time left: 1 day, 16:26:10 | avg_q: 1.9387 | epsilon: 0.1 | reward: -77 | avg time per epoch: 0:00:04 | time elapsed: 0:02:20 | 
loss: 9.6164 | epoch: 30/30000 | score: 41 | time left: 1 day, 16:23:32 | avg_q: 1.8653 | epsilon: 0.1 | reward: -78 | avg time per epoch: 0:00:04 | time elapsed: 0:02:25 | 
loss: 9.6380 | epoch: 31/30000 | score: 41 | time left: 1 day, 16:21:25 | avg_q: 2.0056 | epsilon: 0.1 | reward: -78 | avg time per epoch: 0:00:04 | time elapsed: 0:02:30 | 
loss: 6.5107 | epoch: 32/30000 | score: 41 | time left: 1 day, 16:21:32 | avg_q: 1.9104 | epsilon: 0.1 | reward: -83 | avg time per epoch: 0:00:04 | time elapsed: 0:02:35 | 
loss: 9.6706 | epoch: 33/30000 | score: 41 | time left: 1 day, 16:19:19 | avg_q: 1.9400 | epsilon: 0.1 | reward: -83 | avg time per epoch: 0:00:04 | time elapsed: 0:02:39 | 
loss: 3.2971 | epoch: 34/30000 | score: 58 | time left: 1 day, 16:45:02 | avg_q: 2.0939 | epsilon: 0.1 | reward: -61 | avg time per epoch: 0:00:04 | time elapsed: 0:02:46 | 
loss: 6.4381 | epoch: 35/30000 | score: 51 | time left: 1 day, 16:58:07 | avg_q: 1.9308 | epsilon: 0.1 | reward: -69 | avg time per epoch: 0:00:04 | time elapsed: 0:02:52 | 
loss: 12.9328 | epoch: 36/30000 | score: 41 | time left: 1 day, 16:55:33 | avg_q: 1.8735 | epsilon: 0.1 | reward: -80 | avg time per epoch: 0:00:04 | time elapsed: 0:02:57 | 
loss: 9.7046 | epoch: 37/30000 | score: 41 | time left: 1 day, 16:53:56 | avg_q: 1.9291 | epsilon: 0.1 | reward: -77 | avg time per epoch: 0:00:04 | time elapsed: 0:03:01 | 
loss: 19.2747 | epoch: 38/30000 | score: 41 | time left: 1 day, 16:51:06 | avg_q: 1.8144 | epsilon: 0.1 | reward: -76 | avg time per epoch: 0:00:04 | time elapsed: 0:03:06 | 
loss: 3.4357 | epoch: 39/30000 | score: 50 | time left: 1 day, 17:00:15 | avg_q: 2.2794 | epsilon: 0.1 | reward: -71 | avg time per epoch: 0:00:04 | time elapsed: 0:03:12 | 
loss: 3.3232 | epoch: 40/30000 | score: 41 | time left: 1 day, 16:57:37 | avg_q: 1.7364 | epsilon: 0.1 | reward: -78 | avg time per epoch: 0:00:04 | time elapsed: 0:03:16 | 
loss: 10.3705 | epoch: 41/30000 | score: 41 | time left: 1 day, 16:56:13 | avg_q: 2.4965 | epsilon: 0.1 | reward: -75 | avg time per epoch: 0:00:04 | time elapsed: 0:03:21 | 
loss: 0.2764 | epoch: 42/30000 | score: 52 | time left: 1 day, 17:07:41 | avg_q: 3.0261 | epsilon: 0.1 | reward: -66 | avg time per epoch: 0:00:04 | time elapsed: 0:03:27 | 
loss: 3.6233 | epoch: 43/30000 | score: 42 | time left: 1 day, 17:05:57 | avg_q: 2.1534 | epsilon: 0.1 | reward: -85 | avg time per epoch: 0:00:04 | time elapsed: 0:03:32 | 
loss: 0.5837 | epoch: 44/30000 | score: 41 | time left: 1 day, 17:03:55 | avg_q: 2.7439 | epsilon: 0.1 | reward: -79 | avg time per epoch: 0:00:04 | time elapsed: 0:03:37 | 
loss: 3.4430 | epoch: 45/30000 | score: 41 | time left: 1 day, 17:01:05 | avg_q: 2.5847 | epsilon: 0.1 | reward: -76 | avg time per epoch: 0:00:04 | time elapsed: 0:03:41 | 
loss: 9.7776 | epoch: 46/30000 | score: 41 | time left: 1 day, 16:59:47 | avg_q: 2.4950 | epsilon: 0.1 | reward: -77 | avg time per epoch: 0:00:04 | time elapsed: 0:03:46 | 
loss: 9.8276 | epoch: 47/30000 | score: 41 | time left: 1 day, 16:58:18 | avg_q: 2.5929 | epsilon: 0.1 | reward: -75 | avg time per epoch: 0:00:04 | time elapsed: 0:03:51 | 
loss: 9.7064 | epoch: 48/30000 | score: 48 | time left: 1 day, 17:04:05 | avg_q: 2.5242 | epsilon: 0.1 | reward: -70 | avg time per epoch: 0:00:04 | time elapsed: 0:03:56 | 
loss: 3.3223 | epoch: 49/30000 | score: 41 | time left: 1 day, 17:01:41 | avg_q: 2.6038 | epsilon: 0.1 | reward: -76 | avg time per epoch: 0:00:04 | time elapsed: 0:04:01 | 
loss: 6.5387 | epoch: 50/30000 | score: 50 | time left: 1 day, 17:09:04 | avg_q: 2.5234 | epsilon: 0.1 | reward: -70 | avg time per epoch: 0:00:04 | time elapsed: 0:04:07 | 
loss: 9.8237 | epoch: 51/30000 | score: 41 | time left: 1 day, 17:06:47 | avg_q: 2.5847 | epsilon: 0.1 | reward: -80 | avg time per epoch: 0:00:04 | time elapsed: 0:04:12 | 
loss: 3.2843 | epoch: 52/30000 | score: 41 | time left: 1 day, 17:05:03 | avg_q: 2.6637 | epsilon: 0.1 | reward: -80 | avg time per epoch: 0:00:04 | time elapsed: 0:04:16 | 
loss: 6.5436 | epoch: 53/30000 | score: 41 | time left: 1 day, 17:03:50 | avg_q: 2.6140 | epsilon: 0.1 | reward: -77 | avg time per epoch: 0:00:04 | time elapsed: 0:04:21 | 
loss: 6.5681 | epoch: 54/30000 | score: 41 | time left: 1 day, 17:02:33 | avg_q: 2.7453 | epsilon: 0.1 | reward: -79 | avg time per epoch: 0:00:04 | time elapsed: 0:04:26 | 
loss: 0.2109 | epoch: 55/30000 | score: 41 | time left: 1 day, 17:00:28 | avg_q: 2.6933 | epsilon: 0.1 | reward: -78 | avg time per epoch: 0:00:04 | time elapsed: 0:04:31 | 
loss: 9.7216 | epoch: 56/30000 | score: 41 | time left: 1 day, 16:58:25 | avg_q: 2.4489 | epsilon: 0.1 | reward: -76 | avg time per epoch: 0:00:04 | time elapsed: 0:04:35 | 
loss: 3.4768 | epoch: 57/30000 | score: 49 | time left: 1 day, 17:03:53 | avg_q: 2.8632 | epsilon: 0.1 | reward: -71 | avg time per epoch: 0:00:04 | time elapsed: 0:04:41 | 
loss: 9.8087 | epoch: 58/30000 | score: 41 | time left: 1 day, 17:01:57 | avg_q: 2.3662 | epsilon: 0.1 | reward: -84 | avg time per epoch: 0:00:04 | time elapsed: 0:04:46 | 
loss: 9.8938 | epoch: 59/30000 | score: 41 | time left: 1 day, 17:00:05 | avg_q: 2.7976 | epsilon: 0.1 | reward: -76 | avg time per epoch: 0:00:04 | time elapsed: 0:04:50 | 
