loss: No train | epoch: 1/30000 | score: 52 | time left: 19:57:04 | avg_q: 0.0090 | epsilon: 0.1 | reward: -100 | avg time per epoch: 0:00:02 | time elapsed: 0:00:02 | 
loss: No train | epoch: 2/30000 | score: 41 | time left: 1 day, 6:23:04 | avg_q: 0.0090 | epsilon: 0.1 | reward: -100 | avg time per epoch: 0:00:03 | time elapsed: 0:00:07 | 
loss: 13.3718 | epoch: 3/30000 | score: 41 | time left: 1 day, 12:17:41 | avg_q: -0.0124 | epsilon: 0.1 | reward: -104 | avg time per epoch: 0:00:04 | time elapsed: 0:00:13 | 
loss: 10.2180 | epoch: 4/30000 | score: 41 | time left: 1 day, 13:19:23 | avg_q: 0.0261 | epsilon: 0.1 | reward: -92 | avg time per epoch: 0:00:04 | time elapsed: 0:00:17 | 
loss: 10.1732 | epoch: 5/30000 | score: 41 | time left: 1 day, 13:56:51 | avg_q: 0.1117 | epsilon: 0.1 | reward: -86 | avg time per epoch: 0:00:04 | time elapsed: 0:00:22 | 
loss: 10.1040 | epoch: 6/30000 | score: 41 | time left: 1 day, 14:19:58 | avg_q: 0.2271 | epsilon: 0.1 | reward: -88 | avg time per epoch: 0:00:04 | time elapsed: 0:00:27 | 
loss: 3.7978 | epoch: 7/30000 | score: 41 | time left: 1 day, 14:37:56 | avg_q: 0.3889 | epsilon: 0.1 | reward: -84 | avg time per epoch: 0:00:04 | time elapsed: 0:00:32 | 
loss: 6.7938 | epoch: 8/30000 | score: 41 | time left: 1 day, 14:51:32 | avg_q: 0.6034 | epsilon: 0.1 | reward: -84 | avg time per epoch: 0:00:04 | time elapsed: 0:00:37 | 
loss: 19.1785 | epoch: 9/30000 | score: 41 | time left: 1 day, 15:00:21 | avg_q: 0.7892 | epsilon: 0.1 | reward: -84 | avg time per epoch: 0:00:04 | time elapsed: 0:00:42 | 
loss: 12.7952 | epoch: 10/30000 | score: 42 | time left: 1 day, 15:09:29 | avg_q: 0.9471 | epsilon: 0.1 | reward: -86 | avg time per epoch: 0:00:04 | time elapsed: 0:00:47 | 
loss: 6.5213 | epoch: 11/30000 | score: 41 | time left: 1 day, 15:16:04 | avg_q: 1.0167 | epsilon: 0.1 | reward: -84 | avg time per epoch: 0:00:04 | time elapsed: 0:00:51 | 
