loss: No train | epoch: 0/50000 | score: 42 | time left: 1 day, 17:35:14 | avg_q: -0.0128 | epsilon: 1.0 | reward: -105 | avg time per epoch: 0:00:02 | time elapsed: 0:00:02 | 
loss: 3.2183 | epoch: 1/50000 | score: 58 | time left: 2 days, 22:51:02 | avg_q: -0.1773 | epsilon: 1.0 | reward: -118 | avg time per epoch: 0:00:05 | time elapsed: 0:00:10 | 
loss: 3.1372 | epoch: 2/50000 | score: 52 | time left: 3 days, 2:26:09 | avg_q: -0.4860 | epsilon: 1.0 | reward: -110 | avg time per epoch: 0:00:05 | time elapsed: 0:00:16 | 
loss: 1.5497 | epoch: 3/50000 | score: 42 | time left: 3 days, 0:49:25 | avg_q: -0.6486 | epsilon: 1.0 | reward: -110 | avg time per epoch: 0:00:05 | time elapsed: 0:00:20 | 
loss: 1.5429 | epoch: 4/50000 | score: 42 | time left: 2 days, 23:58:39 | avg_q: -1.1949 | epsilon: 1.0 | reward: -111 | avg time per epoch: 0:00:05 | time elapsed: 0:00:25 | 
loss: 0.0161 | epoch: 5/50000 | score: 57 | time left: 3 days, 2:54:47 | avg_q: -0.6707 | epsilon: 1.0 | reward: -111 | avg time per epoch: 0:00:05 | time elapsed: 0:00:32 | 
loss: 1.5628 | epoch: 6/50000 | score: 42 | time left: 3 days, 1:51:35 | avg_q: -0.9934 | epsilon: 1.0 | reward: -107 | avg time per epoch: 0:00:05 | time elapsed: 0:00:37 | 
loss: 1.5234 | epoch: 7/50000 | score: 52 | time left: 3 days, 3:04:55 | avg_q: -1.2235 | epsilon: 1.0 | reward: -111 | avg time per epoch: 0:00:05 | time elapsed: 0:00:43 | 
loss: 4.5453 | epoch: 8/50000 | score: 59 | time left: 3 days, 4:57:39 | avg_q: -1.2916 | epsilon: 1.0 | reward: -121 | avg time per epoch: 0:00:05 | time elapsed: 0:00:49 | 
loss: 1.5207 | epoch: 9/50000 | score: 55 | time left: 3 days, 5:52:41 | avg_q: -1.8701 | epsilon: 1.0 | reward: -115 | avg time per epoch: 0:00:05 | time elapsed: 0:00:56 | 
loss: 3.0628 | epoch: 10/50000 | score: 42 | time left: 3 days, 4:56:06 | avg_q: -1.0333 | epsilon: 1.0 | reward: -112 | avg time per epoch: 0:00:05 | time elapsed: 0:01:00 | 
